age,sex,region,EURef2016,education_level,work_stat,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
36,"Woman","Scotland","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
50,"Man","South West","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",6,"a Leaver"
30,"Woman","North West","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",3,"a Remainer"
57,"Man","London","Remain","Other technical, professional or higher qualification","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
73,"Man","East of England","Did not vote","GCE A level or Higher Certificate","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly well",7,"a Remainer"
22,"Woman","London","Leave","GCE A level or Higher Certificate","Working part time (Less than 8 hours a week)","Have never worked","Somewhat positive effect","Don't know","Don't know",5,"a Leaver"
65,"Woman","North West","Leave","GCE A level or Higher Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",8,"a Leaver"
71,"Woman","East Midlands","Leave","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Don't know",7,"a Leaver"
70,"Woman","South East","Leave","No formal qualifications","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Somewhat negative effect","Fairly badly",9,"Neither a Leaver nor a Remainer"
40,"Man","Scotland","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
21,"Woman","London","Remain","GCE A level or Higher Certificate","Full time student","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Neither positive nor negative","Very badly",3,"a Remainer"
72,"Woman","Scotland","Leave","Other technical, professional or higher qualification","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very negative effect","Fairly badly",2,"a Leaver"
58,"Woman","North West","Remain","No formal qualifications","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
56,"Man","North West","Did not vote","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Neither positive nor negative","Very well",3,"a Leaver"
24,"Man","East of England","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Somewhat positive effect","Fairly well",7,"a Leaver"
49,"Woman","East Midlands","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Very badly",3,"Neither a Leaver nor a Remainer"
70,"Woman","East of England","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Other","Somewhat negative effect","Don't know","Don't know",2,"a Remainer"
75,"Man","North West","Did not vote","No formal qualifications","Retired","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Neither positive nor negative","Very badly",8,"a Remainer"
33,"Man","East of England","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Don't know","Very well",5,"a Leaver"
56,"Woman","East Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
72,"Woman","Yorkshire and the Humber","Leave","Clerical and commercial","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Somewhat positive effect","Fairly well",4,"a Leaver"
40,"Woman","East of England","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Very badly",5,"a Remainer"
45,"Man","Yorkshire and the Humber","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don't know","Don't know","Don't know",5,"a Remainer"
82,"Woman","Scotland","Remain","Scottish Ordinary/ Lower Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Fairly badly",2,"a Leaver"
36,"Man","Yorkshire and the Humber","Remain","University diploma","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
50,"Woman","Yorkshire and the Humber","Remain","ONC","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
49,"Woman","North East","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
57,"Woman","East Midlands","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
24,"Woman","South East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly well",6,"a Remainer"
52,"Woman","London","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Neither positive nor negative","Very well",0,"a Leaver"
42,"Man","North West","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Fairly badly",5,"a Remainer"
